Date,Open,High,Low,Close,Volume
03/05/2025,"191.86","194.08","187.10","191.58","25,644,539"
03/04/2025,"189.22","193.95","180.48","187.48","37,910,480"
03/03/2025,"204.00","204.06","184.53","187.37","37,435,602"
02/28/2025,"195.76","201.19","193.15","199.43","39,747,246"
02/27/2025,"217.28","219.25","197.40","197.80","27,572,891"
02/26/2025,"206.91","213.54","206.00","212.94","21,368,301"
02/25/2025,"207.00","208.64","200.92","202.54","33,100,809"
02/24/2025,"218.60","219.48","207.54","207.93","33,050,430"
02/21/2025,"225.65","227.75","215.63","218.66","24,883,561"
02/20/2025,"228.65","228.98","222.75","226.74","16,104,000"
02/19/2025,"227.85","229.07","224.40","228.73","16,375,490"
02/18/2025,"230.10","232.20","224.30","228.53","26,080,551"
02/14/2025,"234.53","235.74","228.90","233.04","16,988,779"
02/13/2025,"236.06","236.95","230.73","235.80","20,962,029"
02/12/2025,"230.36","236.48","230.00","236.35","16,397,340"
02/11/2025,"232.48","237.89","229.97","235.04","18,476,199"
02/10/2025,"227.43","235.82","227.12","235.04","23,901,641"
02/07/2025,"235.00","235.65","224.11","224.87","22,117,471"
02/06/2025,"234.50","234.80","228.56","231.36","21,169,529"
02/05/2025,"233.94","237.93","227.50","232.00","29,250,580"
02/04/2025,"219.35","223.03","215.30","222.43","23,768,520"
02/03/2025,"215.46","220.94","213.51","217.73","24,507,270"
01/31/2025,"219.66","226.80","216.30","221.27","41,150,980"
01/30/2025,"218.57","221.96","213.70","215.66","42,449,480"
01/29/2025,"208.84","211.45","202.77","206.35","32,533,740"
01/28/2025,"208.01","209.95","198.89","207.36","50,315,992"
01/27/2025,"213.40","218.43","196.23","202.13","90,569,375"
01/24/2025,"244.70","249.59","241.91","244.70","25,387,830"
01/23/2025,"238.41","240.40","236.12","240.28","17,653,939"
01/22/2025,"246.75","246.99","240.69","240.91","29,610,500"
01/21/2025,"241.50","242.75","237.40","240.31","30,903,189"
01/17/2025,"237.08","238.10","232.66","237.44","31,196,641"
01/16/2025,"235.22","238.60","229.21","229.41","23,471,869"
01/15/2025,"228.55","230.34","225.58","228.00","21,745,619"
01/14/2025,"226.57","230.26","223.10","224.70","18,143,119"
01/13/2025,"219.99","229.26","219.51","225.29","23,772,090"
01/10/2025,"227.30","227.83","221.25","224.31","23,864,010"
01/08/2025,"229.70","232.47","226.06","229.31","18,756,490"
01/07/2025,"239.50","239.50","227.60","228.64","25,928,609"
01/06/2025,"236.50","241.75","233.30","236.41","34,028,379"
01/03/2025,"233.59","236.49","229.00","232.55","24,973,189"
01/02/2025,"236.16","239.50","230.24","231.98","31,525,830"
12/31/2024,"235.88","237.46","231.31","231.84","17,927,721"
12/30/2024,"234.70","238.77","231.62","235.58","27,316,801"
12/27/2024,"245.64","245.78","236.35","241.75","29,282,230"
12/26/2024,"240.00","247.28","237.60","245.36","28,537,539"
12/24/2024,"240.12","240.23","234.80","239.68","22,827,189"
12/23/2024,"226.69","233.40","225.13","232.35","40,643,781"
12/20/2024,"220.36","230.29","218.91","220.79","131,910,406"
12/19/2024,"227.91","228.05","217.58","218.32","40,845,168"
12/18/2024,"239.41","239.85","219.22","223.62","53,960,102"
12/17/2024,"240.65","242.47","233.80","240.23","70,382,125"
12/16/2024,"231.79","251.88","230.81","250.00","111,623,203"
12/13/2024,"213.90","228.70","211.11","224.80","121,336,602"
12/12/2024,"180.93","182.00","175.99","180.66","46,967,168"
12/11/2024,"180.01","184.87","176.43","183.20","41,295,180"
12/10/2024,"177.81","178.50","169.73","171.81","27,762,631"
12/09/2024,"178.95","180.79","176.02","178.94","20,886,311"
12/06/2024,"170.10","180.68","169.33","179.53","27,830,830"
12/05/2024,"170.75","172.40","169.20","170.47","18,489,990"
12/04/2024,"173.44","175.39","168.56","170.56","32,748,250"
12/03/2024,"164.48","168.27","164.03","168.15","17,024,430"
12/02/2024,"162.95","168.38","162.75","166.51","21,472,439"
11/29/2024,"159.57","162.69","159.08","162.08","11,024,010"
11/27/2024,"163.20","163.20","157.54","159.67","19,722,721"
11/26/2024,"164.60","166.37","162.69","164.74","16,308,770"
11/25/2024,"165.40","167.23","162.89","164.82","26,850,590"
11/22/2024,"164.30","164.91","162.40","164.23","17,332,471"
11/21/2024,"166.25","166.34","160.60","163.94","24,835,250"
11/20/2024,"165.54","165.54","160.86","163.25","17,196,730"
11/19/2024,"166.66","166.80","164.31","165.35","18,003,400"
11/18/2024,"165.66","166.35","162.22","165.67","17,870,330"
11/15/2024,"168.47","169.14","163.43","164.84","20,836,160"
11/14/2024,"174.77","175.57","169.87","170.38","20,638,859"
11/13/2024,"174.71","175.59","172.60","173.58","17,472,510"
11/12/2024,"178.90","179.56","173.20","176.22","15,861,980"
11/11/2024,"183.40","183.63","176.82","178.91","17,036,660"
11/08/2024,"182.99","185.05","181.83","183.64","13,503,150"
11/07/2024,"181.99","184.87","181.79","183.81","18,970,580"
11/06/2024,"179.63","180.21","175.96","179.55","24,300,760"
11/05/2024,"170.05","174.40","170.05","173.90","13,441,750"
11/04/2024,"169.28","172.45","168.42","168.55","13,621,310"
11/01/2024,"168.26","171.33","167.50","168.92","17,847,039"
10/31/2024,"174.45","174.45","167.38","169.77","26,086,590"
